Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_timeSteps : 60
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_active : True
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , metr_seconds : 8.83729338645935
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , metr_acc : 0.8125288940886904
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_timeSteps : 400
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_batch_size : 428
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_num_units : 442
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_activation : sigmoid
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_projectName : EventClass_1
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , pram_active : True
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , metr_seconds : 7.392647981643677
Var : 1.0 , Id : 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:46 , Experiment : 8cfdd580-aae7-11ea-b981-704d7b847aa2 , Source : EncoderDecoder.py , metr_acc : 0.9311897138882297
Var : 1.0 , Id : decb2598-ab05-11ea-801b-704d7b847aa2 , Date : 10/06/2020 , Time : 13:33:48 , Experiment : decbf36c-ab05-11ea-b70c-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : f87b94e8-ab05-11ea-8038-704d7b847aa2 , Date : 10/06/2020 , Time : 13:34:32 , Experiment : f9b5e8c0-ab05-11ea-a9d0-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 569e98f4-ab06-11ea-8d48-704d7b847aa2 , Date : 10/06/2020 , Time : 13:37:09 , Experiment : 569f3fd2-ab06-11ea-bb9b-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:24 , Experiment : a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:24 , Experiment : a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:24 , Experiment : a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , Source : HistXGboost.py , pram_bins : 10
Var : 1.0 , Id : a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:24 , Experiment : a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , Source : HistXGboost.py , metr_seconds : 3.620976448059082
Var : 1.0 , Id : a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:24 , Experiment : a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , Source : HistXGboost.py , metr_acc : 0.7142857142857143
Var : 1.0 , Id : a8f3917e-ab06-11ea-9315-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:28 , Experiment : a8f455d8-ab06-11ea-bea9-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a8f3917e-ab06-11ea-9315-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:28 , Experiment : a8f455d8-ab06-11ea-bea9-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a8f3917e-ab06-11ea-9315-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:28 , Experiment : a8f455d8-ab06-11ea-bea9-704d7b847aa2 , Source : HistXGboost.py , pram_bins : 20
Var : 1.0 , Id : a8f3917e-ab06-11ea-9315-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:28 , Experiment : a8f455d8-ab06-11ea-bea9-704d7b847aa2 , Source : HistXGboost.py , metr_seconds : 3.6477150917053223
Var : 1.0 , Id : a8f3917e-ab06-11ea-9315-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:28 , Experiment : a8f455d8-ab06-11ea-bea9-704d7b847aa2 , Source : HistXGboost.py , metr_acc : 1.0
Var : 1.0 , Id : ab2162ee-ab06-11ea-b654-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:31 , Experiment : ab22250a-ab06-11ea-a67f-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : ab2162ee-ab06-11ea-b654-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:31 , Experiment : ab22250a-ab06-11ea-a67f-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : ab2162ee-ab06-11ea-b654-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:31 , Experiment : ab22250a-ab06-11ea-a67f-704d7b847aa2 , Source : HistXGboost.py , pram_bins : 30
Var : 1.0 , Id : ab2162ee-ab06-11ea-b654-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:31 , Experiment : ab22250a-ab06-11ea-a67f-704d7b847aa2 , Source : HistXGboost.py , metr_seconds : 3.603936195373535
Var : 1.0 , Id : ab2162ee-ab06-11ea-b654-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:31 , Experiment : ab22250a-ab06-11ea-a67f-704d7b847aa2 , Source : HistXGboost.py , metr_acc : 0.9285714285714286
Var : 1.0 , Id : ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:35 , Experiment : ad49709a-ab06-11ea-86ca-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:35 , Experiment : ad49709a-ab06-11ea-86ca-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:35 , Experiment : ad49709a-ab06-11ea-86ca-704d7b847aa2 , Source : HistXGboost.py , pram_bins : 50
Var : 1.0 , Id : ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:35 , Experiment : ad49709a-ab06-11ea-86ca-704d7b847aa2 , Source : HistXGboost.py , metr_seconds : 3.623502492904663
Var : 1.0 , Id : ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:35 , Experiment : ad49709a-ab06-11ea-86ca-704d7b847aa2 , Source : HistXGboost.py , metr_acc : 0.8571428571428571
Var : 1.0 , Id : af72f2d2-ab06-11ea-92f8-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:38 , Experiment : af73b622-ab06-11ea-8842-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : af72f2d2-ab06-11ea-92f8-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:38 , Experiment : af73b622-ab06-11ea-8842-704d7b847aa2 , Source : HistXGboost.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : af72f2d2-ab06-11ea-92f8-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:38 , Experiment : af73b622-ab06-11ea-8842-704d7b847aa2 , Source : HistXGboost.py , pram_bins : 100
Var : 1.0 , Id : af72f2d2-ab06-11ea-92f8-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:38 , Experiment : af73b622-ab06-11ea-8842-704d7b847aa2 , Source : HistXGboost.py , metr_seconds : 3.658308506011963
Var : 1.0 , Id : af72f2d2-ab06-11ea-92f8-704d7b847aa2 , Date : 10/06/2020 , Time : 13:39:38 , Experiment : af73b622-ab06-11ea-8842-704d7b847aa2 , Source : HistXGboost.py , metr_acc : 0.9285714285714286
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_seq : 10
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_filters : 16
Var : 1.0 , Id : 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , Date : 10/06/2020 , Time : 13:43:06 , Experiment : 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_units : 50
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_seq : 10
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_filters : 16
Var : 1.0 , Id : a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:46:27 , Experiment : a2d65080-ab07-11ea-ad1d-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_units : 50
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_seq : 10
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_filters : 16
Var : 1.0 , Id : 04b654b6-ab08-11ea-8d11-704d7b847aa2 , Date : 10/06/2020 , Time : 13:49:11 , Experiment : 04b71918-ab08-11ea-9edc-704d7b847aa2 , Source : CnnLstm_univar.py , pram_num_units : 50
Var : 1.0 , Id : 2be5b09e-ab08-11ea-a344-704d7b847aa2 , Date : 10/06/2020 , Time : 13:50:17 , Experiment : 2be812fe-ab08-11ea-847f-704d7b847aa2 , Source : ConvLstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 2be5b09e-ab08-11ea-a344-704d7b847aa2 , Date : 10/06/2020 , Time : 13:50:17 , Experiment : 2be812fe-ab08-11ea-847f-704d7b847aa2 , Source : ConvLstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : 2be5b09e-ab08-11ea-a344-704d7b847aa2 , Date : 10/06/2020 , Time : 13:50:17 , Experiment : 2be812fe-ab08-11ea-847f-704d7b847aa2 , Source : ConvLstm_univar.py , pram_seq : 10
Var : 1.0 , Id : 2be5b09e-ab08-11ea-a344-704d7b847aa2 , Date : 10/06/2020 , Time : 13:50:17 , Experiment : 2be812fe-ab08-11ea-847f-704d7b847aa2 , Source : ConvLstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : 2be5b09e-ab08-11ea-a344-704d7b847aa2 , Date : 10/06/2020 , Time : 13:50:17 , Experiment : 2be812fe-ab08-11ea-847f-704d7b847aa2 , Source : ConvLstm_univar.py , pram_num_filters : 16
Var : 1.0 , Id : 02956830-ab09-11ea-81f2-704d7b847aa2 , Date : 10/06/2020 , Time : 13:56:17 , Experiment : 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Source : Lstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 02956830-ab09-11ea-81f2-704d7b847aa2 , Date : 10/06/2020 , Time : 13:56:17 , Experiment : 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Source : Lstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : 02956830-ab09-11ea-81f2-704d7b847aa2 , Date : 10/06/2020 , Time : 13:56:17 , Experiment : 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Source : Lstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : 02956830-ab09-11ea-81f2-704d7b847aa2 , Date : 10/06/2020 , Time : 13:56:17 , Experiment : 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Source : Lstm_univar.py , pram_num_layers : 1
Var : 1.0 , Id : 02956830-ab09-11ea-81f2-704d7b847aa2 , Date : 10/06/2020 , Time : 13:56:17 , Experiment : 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Source : Lstm_univar.py , pram_num_units : 50
Var : 1.0 , Id : 2b769e2c-ab09-11ea-991d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:57:26 , Experiment : 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , Source : BLstm_univar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 2b769e2c-ab09-11ea-991d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:57:26 , Experiment : 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , Source : BLstm_univar.py , pram_timeSteps : 60
Var : 1.0 , Id : 2b769e2c-ab09-11ea-991d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:57:26 , Experiment : 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , Source : BLstm_univar.py , pram_batch_size : 500
Var : 1.0 , Id : 2b769e2c-ab09-11ea-991d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:57:26 , Experiment : 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , Source : BLstm_univar.py , pram_num_layers : 1
Var : 1.0 , Id : 2b769e2c-ab09-11ea-991d-704d7b847aa2 , Date : 10/06/2020 , Time : 13:57:26 , Experiment : 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , Source : BLstm_univar.py , pram_num_units : 20
Var : 1.0 , Id : 9d1c662e-ab09-11ea-b771-704d7b847aa2 , Date : 10/06/2020 , Time : 14:00:36 , Experiment : 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Source : Lstm_multivar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 9d1c662e-ab09-11ea-b771-704d7b847aa2 , Date : 10/06/2020 , Time : 14:00:36 , Experiment : 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Source : Lstm_multivar.py , pram_timeSteps : 60
Var : 1.0 , Id : 9d1c662e-ab09-11ea-b771-704d7b847aa2 , Date : 10/06/2020 , Time : 14:00:36 , Experiment : 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Source : Lstm_multivar.py , pram_batch_size : 500
Var : 1.0 , Id : 9d1c662e-ab09-11ea-b771-704d7b847aa2 , Date : 10/06/2020 , Time : 14:00:36 , Experiment : 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Source : Lstm_multivar.py , pram_num_layers : 1
Var : 1.0 , Id : 9d1c662e-ab09-11ea-b771-704d7b847aa2 , Date : 10/06/2020 , Time : 14:00:36 , Experiment : 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Source : Lstm_multivar.py , pram_num_units : 50
Var : 1.0 , Id : c24c0986-ab09-11ea-b46d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:01:39 , Experiment : c24cccca-ab09-11ea-9b56-704d7b847aa2 , Source : BLstm_multivar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : c24c0986-ab09-11ea-b46d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:01:39 , Experiment : c24cccca-ab09-11ea-9b56-704d7b847aa2 , Source : BLstm_multivar.py , pram_timeSteps : 60
Var : 1.0 , Id : c24c0986-ab09-11ea-b46d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:01:39 , Experiment : c24cccca-ab09-11ea-9b56-704d7b847aa2 , Source : BLstm_multivar.py , pram_batch_size : 500
Var : 1.0 , Id : c24c0986-ab09-11ea-b46d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:01:39 , Experiment : c24cccca-ab09-11ea-9b56-704d7b847aa2 , Source : BLstm_multivar.py , pram_num_layers : 1
Var : 1.0 , Id : c24c0986-ab09-11ea-b46d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:01:39 , Experiment : c24cccca-ab09-11ea-9b56-704d7b847aa2 , Source : BLstm_multivar.py , pram_num_units : 20
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_timeSteps : 60
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_seq : 10
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_batch_size : 500
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_num_filters : 16
Var : 1.0 , Id : e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , Date : 10/06/2020 , Time : 14:02:33 , Experiment : e2b8a208-ab09-11ea-88e3-704d7b847aa2 , Source : CnnLstm_multivar.py , pram_num_units : 50
