Id,Date,Time,Experiment,Source,activation,active,batch_size,bins,dsName,num_filters,num_layers,num_units,projectName,seq,timeSteps,acc,seconds
 af72f2d2-ab06-11ea-92f8-704d7b847aa2 , 10/06/2020 ,13:39:38, af73b622-ab06-11ea-8842-704d7b847aa2 , HistXGboost.py ,---,---,---,100,Row99_f=40,---,---,---,---,---,---,0.9285714285714286,3.658308506011963
 2af78dda-ab07-11ea-9a2e-704d7b847aa2 , 10/06/2020 ,13:43:06, 2af9eedc-ab07-11ea-a35b-704d7b847aa2 , CnnLstm_univar.py ,---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 a2d58b4a-ab07-11ea-b82d-704d7b847aa2 , 10/06/2020 ,13:46:27, a2d65080-ab07-11ea-ad1d-704d7b847aa2 , CnnLstm_univar.py ,---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 04b654b6-ab08-11ea-8d11-704d7b847aa2 , 10/06/2020 ,13:49:11, 04b71918-ab08-11ea-9edc-704d7b847aa2 , CnnLstm_univar.py ,---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 2be5b09e-ab08-11ea-a344-704d7b847aa2 , 10/06/2020 ,13:50:17, 2be812fe-ab08-11ea-847f-704d7b847aa2 , ConvLstm_univar.py ,---,---,500,---,Row99_f=40,16,---,---,---,10,60,---,---
 02956830-ab09-11ea-81f2-704d7b847aa2 , 10/06/2020 ,13:56:17, 02962ab0-ab09-11ea-aa27-704d7b847aa2 , Lstm_univar.py ,---,---,500,---,Row99_f=40,---,1,50,---,---,60,---,---
 2b769e2c-ab09-11ea-991d-704d7b847aa2 , 10/06/2020 ,13:57:26, 2b769e2d-ab09-11ea-9a2f-704d7b847aa2 , BLstm_univar.py ,---,---,500,---,Row99_f=40,---,1,20,---,---,60,---,---
 9d1c662e-ab09-11ea-b771-704d7b847aa2 , 10/06/2020 ,14:00:36, 9d1d0264-ab09-11ea-979e-704d7b847aa2 , Lstm_multivar.py ,---,---,500,---,Row99_f=40,---,1,50,---,---,60,---,---
 c24c0986-ab09-11ea-b46d-704d7b847aa2 , 10/06/2020 ,14:01:39, c24cccca-ab09-11ea-9b56-704d7b847aa2 , BLstm_multivar.py ,---,---,500,---,Row99_f=40,---,1,20,---,---,60,---,---
 e2b7dea6-ab09-11ea-8e6d-704d7b847aa2 , 10/06/2020 ,14:02:33, e2b8a208-ab09-11ea-88e3-704d7b847aa2 , CnnLstm_multivar.py ,---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 0130f6de-ab0a-11ea-8cf3-704d7b847aa2 , 10/06/2020 ,14:03:24, 0130f6df-ab0a-11ea-b6ba-704d7b847aa2 , ConvLstm_multivar.py ,---,---,500,---,Row99_f=40,16,---,---,---,10,60,---,---
 5c7bf9d6-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:13:07, 5c7bf9d7-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,0.8571428571428571,3.787712812423706
 5ebe0b58-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:13:11, 5ebe0b59-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,20,Row99_f=40,---,---,---,---,---,---,1.0,3.773432493209839
 60fde5f0-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:13:14, 60fde5f1-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,30,Row99_f=40,---,---,---,---,---,---,1.0,3.770249128341675
 633d43ce-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:13:18, 633d43cf-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,50,Row99_f=40,---,---,---,---,---,---,0.8571428571428571,3.7587826251983643
 657ae1e6-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:13:22, 657ae1e7-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,100,Row99_f=40,---,---,---,---,---,---,0.9285714285714286,3.7874906063079834
 8c6b7068-ab0b-11ea-8f40-84a93e7ffccd , 10/06/2020 ,14:14:27, 90b7aa88-ab0b-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,---,---
 2fbe810a-ae00-11ea-8f40-84a93e7ffccd , 14/06/2020 ,08:30:41, 2fbe810b-ae00-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,---,---
 20aceb04-aec6-11ea-8f40-84a93e7ffccd , 15/06/2020 ,08:07:36, 20aceb05-aec6-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,---,---
 f7f212a6-aec6-11ea-8f40-84a93e7ffccd , 15/06/2020 ,08:13:37, f7f212a7-aec6-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,---,---
 f1490e22-aec7-11ea-8f40-84a93e7ffccd , 15/06/2020 ,08:20:35, f1490e23-aec7-11ea-8f40-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,---,---
 dbf9eed2-aedc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,10:50:19, dbf9eed3-aedc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,10,Row99_f=40,---,---,---,---,---,---,0.8571428571428571,14.212583303451538
 e4730b7a-aedc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,10:50:33, e4730b7b-aedc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,20,Row99_f=40,---,---,---,---,---,---,1.0,14.488899230957031
 ed161d58-aedc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,10:50:48, ed161d59-aedc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/HistModels/HistXGboost.py ",---,---,---,30,Row99_f=40,---,---,---,---,---,---,---,---
 c976822c-aedf-11ea-bcce-84a93e7ffccd , 15/06/2020 ,11:11:16, c976822d-aedf-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 80cf2d74-aef0-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:10:56, 80cf2d75-aef0-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 cd3d33c6-aef1-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:20:14, cd3d33c7-aef1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,1.0,17.907891750335693
 d86d2d6e-aef1-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:20:32, d86d2d6f-aef1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,2587,---,Row99_f=40,123,---,39,---,20,180,---,---
 f677daf2-aef1-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:21:23, f677daf3-aef1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,1.0,17.00953435897827
 012084f4-aef2-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:21:41, 012084f5-aef2-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,3668,---,Row99_f=40,119,---,54,---,10,120,---,---
 2bf08bb6-aef2-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:22:53, 2bf08bb7-aef2-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,1.0,10.46569013595581
 32b08bcc-aef2-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:23:04, 32b08bcd-aef2-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,3664,---,Row99_f=40,121,---,79,---,20,180,---,---
 4a97f36a-aef2-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:23:44, 4a97f36b-aef2-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 08612826-aef3-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:29:02, 08612827-aef3-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 b0e9ed48-aef3-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:33:45, b0e9ed49-aef3-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 e49fd2a6-aef3-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:35:12, e49fd2a7-aef3-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 695bba6e-aef4-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:38:55, 695bba6f-aef4-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 811a1fb0-aef4-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:39:34, 811a1fb1-aef4-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 4d9b18c8-aef5-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:45:18, 4d9b18c9-aef5-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 7c89ad42-aef6-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:53:46, 7c89ad43-aef6-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 fc703e7c-aef6-11ea-bcce-84a93e7ffccd , 15/06/2020 ,13:57:20, fc703e7d-aef6-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 cf6c869a-aef8-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:10:24, cf6c869b-aef8-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 9d3c90d8-aef9-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:16:09, 9d3c90d9-aef9-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 18a4a3a0-aefa-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:19:36, 18a4a3a1-aefa-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 007b0ab6-aefb-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:26:05, 007b0ab7-aefb-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 160d0f8c-aefb-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:26:41, 160d0f8d-aefb-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 256a160e-aefc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:34:17, 256a160f-aefc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 969281b8-aefc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:37:26, 969281b9-aefc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 b5ed9d5e-aefc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:38:19, b5ed9d5f-aefc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 d63211a8-aefc-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:39:13, d63211a9-aefc-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 0d0f0e32-aefe-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:47:55, 0d0f0e33-aefe-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 28c55212-aefe-11ea-bcce-84a93e7ffccd , 15/06/2020 ,14:48:41, 28c55213-aefe-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 ec4bbed2-aeff-11ea-bcce-84a93e7ffccd , 15/06/2020 ,15:01:19, ec4bbed3-aeff-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 300d23c0-af98-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:11:16, 300d23c1-af98-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 3f52b11a-af98-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:11:42, 3f52b11b-af98-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 500c2a9a-af98-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:12:10, 500c2a9b-af98-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 6d98bc04-af98-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:12:59, 6d98bc05-af98-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 0fa02aa0-af99-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:17:31, 0fa02aa1-af99-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 21189646-af99-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:18:00, 21189647-af99-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 93e7ec80-af99-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:21:13, 93e7ec81-af99-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 742e1f16-af9b-11ea-bcce-84a93e7ffccd , 16/06/2020 ,09:34:39, 742e1f17-af9b-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 b24e4c04-af9f-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:05:01, b24e4c05-af9f-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 e08cfa16-af9f-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:06:19, e08cfa17-af9f-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 c23f28b2-afa0-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:12:37, c23f28b3-afa0-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 27ef4a70-afa1-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:15:28, 27ef4a71-afa1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 946cfada-afa1-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:18:30, 946cfadb-afa1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 aa71f790-afa1-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:19:07, aa71f791-afa1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 b5116654-afa1-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:19:25, b5116655-afa1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 fc5e65ac-afa1-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:21:24, fc5e65ad-afa1-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 130e6fb8-afa2-11ea-bcce-84a93e7ffccd , 16/06/2020 ,10:22:02, 130e6fb9-afa2-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 10bcae02-afaa-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:19:14, 10bcae03-afaa-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 2231c730-afaa-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:19:44, 2231c731-afaa-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 dbb5cb0c-afaa-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:24:55, dbb5cb0d-afaa-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 f4aae606-afaa-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:25:37, f4aae607-afaa-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 2d0d69d8-afab-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:27:11, 2d0d69d9-afab-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
 87678d64-afab-11ea-bcce-84a93e7ffccd , 16/06/2020 ,11:29:43, 87678d65-afab-11ea-bcce-84a93e7ffccd ," File ""/home/amitli/PycharmProjects/FromMeir/EventSeriesClassification/Project1/UnivariateSeriesModels/CnnLstm_univar.py ",---,---,500,---,Row99_f=40,16,---,50,---,10,60,---,---
